species,name,HSG,singleton,HSG name
53461,Nakamurella multipartita,53460:1,True,Nakamurella:HSG1
1902245,Nakamurella antarctica,53460:0,True,Nakamurella:HSG0
80866,Delftia acidovorans,80865:0,False,Delftia:HSG0
180282,Delftia tsuruhatensis,80865:0,False,Delftia:HSG0
558537,Delftia lacustris,80865:0,False,Delftia:HSG0
323273,Nonlabens tegetincola,363408:3,True,Nonlabens:HSG3
328515,Nonlabens dokdonensis,363408:1,True,Nonlabens:HSG1
906888,Nonlabens ulvanivorans,363408:2,True,Nonlabens:HSG2
2496866,Nonlabens ponticola,363408:0,True,Nonlabens:HSG0
1006,Marivirga tractuosa,869806:3,True,Marivirga:HSG3
2010992,Marivirga harenae,869806:2,True,Marivirga:HSG2
3059076,Marivirga arenosa,869806:1,True,Marivirga:HSG1
3059078,Marivirga salinae,869806:0,True,Marivirga:HSG0
48,Archangium gephyra,47:0,False,Archangium:HSG0
83451,Archangium violaceum,47:0,False,Archangium:HSG0
1099853,Coprobacter fastidiosus,1348911:1,True,Coprobacter:HSG1
1501392,Coprobacter secundus,1348911:0,True,Coprobacter:HSG0
496057,Arachidicoccus ginsenosidivorans,1769012:2,True,Arachidicoccus:HSG2
2341117,Arachidicoccus soli,1769012:1,True,Arachidicoccus:HSG1
2875539,Arachidicoccus terrestris,1769012:0,True,Arachidicoccus:HSG0
2686077,Winogradskyella forsetii,286104:2,True,Winogradskyella:HSG2
2686078,Winogradskyella schleiferi,286104:1,True,Winogradskyella:HSG1
2697010,Winogradskyella helgolandensis,286104:0,True,Winogradskyella:HSG0
1744,Propionibacterium freudenreichii,1743:1,True,Propionibacterium:HSG1
119981,Propionibacterium australiense,1743:2,True,Propionibacterium:HSG2
556499,Propionibacterium acidifaciens,1743:0,True,Propionibacterium:HSG0
191302,Devosia neptuniae,46913:3,True,Devosia:HSG3
400770,Devosia ginsengisoli,46913:1,True,Devosia:HSG1
2657486,Devosia beringensis,46913:2,True,Devosia:HSG2
2860336,Devosia salina,46913:0,True,Devosia:HSG0
673,Grimontia hollisae,246861:1,True,Grimontia:HSG1
2872157,Grimontia kaedaensis,246861:0,True,Grimontia:HSG0
43357,Kutzneria albida,43356:1,True,Kutzneria:HSG1
1483604,Kutzneria chonburiensis,43356:0,True,Kutzneria:HSG0
1813451,Peteryoungia desertarenae,2853332:1,True,Peteryoungia:HSG1
2919917,Peteryoungia algae,2853332:0,True,Peteryoungia:HSG0
1993,Actinomadura madurae,1988:0,False,Actinomadura:HSG0
46158,Actinomadura citrea,1988:0,False,Actinomadura:HSG0
2750812,Actinomadura graeca,1988:1,True,Actinomadura:HSG1
2058175,Antarcticibacterium flavum,2058174:1,True,Antarcticibacterium:HSG1
2585771,Antarcticibacterium arcticum,2058174:0,True,Antarcticibacterium:HSG0
777,Coxiella burnetii,776:1,True,Coxiella:HSG1
2054173,Candidatus Coxiella mudrowiae,776:0,True,Coxiella:HSG0
1570,Halobacillus halophilus,45667:3,True,Halobacillus:HSG3
45668,Halobacillus litoralis,45667:5,True,Halobacillus:HSG5
402384,Halobacillus mangrovi,45667:4,True,Halobacillus:HSG4
554880,Halobacillus naozhouensis,45667:1,True,Halobacillus:HSG1
2932257,Halobacillus salinarum,45667:6,True,Halobacillus:HSG6
2932258,Halobacillus shinanisalinarum,45667:2,True,Halobacillus:HSG2
2932259,Halobacillus amylolyticus,45667:0,True,Halobacillus:HSG0
544645,Butyricimonas virosa,574697:2,True,Butyricimonas:HSG2
1472416,Butyricimonas faecihominis,574697:1,True,Butyricimonas:HSG1
2093856,Butyricimonas faecalis,574697:0,True,Butyricimonas:HSG0
569,Hafnia alvei,568:0,False,Hafnia:HSG0
546367,Hafnia paralvei,568:0,False,Hafnia:HSG0
587,Providencia rettgeri,586:0,False,Providencia:HSG0
588,Providencia stuartii,586:0,False,Providencia:HSG0
126385,Providencia alcalifaciens,586:0,False,Providencia:HSG0
158850,Providencia rustigianii,586:0,False,Providencia:HSG0
333962,Providencia heimbachae,586:1,True,Providencia:HSG1
333965,Providencia vermicola,586:0,False,Providencia:HSG0
2027290,Providencia huaxiensis,586:0,False,Providencia:HSG0
3031799,Providencia hangzhouensis,586:0,False,Providencia:HSG0
3053982,Providencia zhijiangensis,586:0,False,Providencia:HSG0
353,Azotobacter chroococcum,352:1,True,Azotobacter:HSG1
354,Azotobacter vinelandii,352:2,True,Azotobacter:HSG2
69964,Azotobacter salinestris,352:0,True,Azotobacter:HSG0
458033,Chloracidobacterium thermophilum,458032:2,True,Chloracidobacterium:HSG2
2821543,Chloracidobacterium validum,458032:1,True,Chloracidobacterium:HSG1
2851959,Chloracidobacterium aggregatum,458032:0,True,Chloracidobacterium:HSG0
2666138,Caproicibacterium lactatifermentans,2834348:1,True,Caproicibacterium:HSG1
2766537,Caproicibacterium amylolyticum,2834348:2,True,Caproicibacterium:HSG2
3030016,Caproicibacterium argilliputei,2834348:0,True,Caproicibacterium:HSG0
621,Shigella boydii,561:0,False,Escherichia:HSG0
622,Shigella dysenteriae,561:0,False,Escherichia:HSG0
623,Shigella flexneri,561:0,False,Escherichia:HSG0
624,Shigella sonnei,561:0,False,Escherichia:HSG0
89184,Ruegeria pomeroyi,97050:1,True,Ruegeria:HSG1
981384,Ruegeria conchae,97050:0,True,Ruegeria:HSG0
254246,Aquicella lusitana,254245:1,True,Aquicella:HSG1
254247,Aquicella siphonis,254245:0,True,Aquicella:HSG0
663364,Halarcobacter bivalviorum,2321115:2,True,Halarcobacter:HSG2
877500,Halarcobacter anaerophilus,2321115:1,True,Halarcobacter:HSG1
1462615,Halarcobacter ebronensis,2321115:0,True,Halarcobacter:HSG0
2315862,Paraflavitalea soli,2698688:1,True,Paraflavitalea:HSG1
3076558,Paraflavitalea speifideaquila,2698688:0,True,Paraflavitalea:HSG0
54005,Peptoniphilus harei,162289:2,True,Peptoniphilus:HSG2
3016343,Peptoniphilus equinus,162289:1,True,Peptoniphilus:HSG1
3036303,Peptoniphilus genitalis,162289:0,True,Peptoniphilus:HSG0
2211108,Sulfuricystis multivorans,3050898:1,True,Sulfuricystis:HSG1
2496847,Sulfuricystis thermophila,3050898:0,True,Sulfuricystis:HSG0
692370,Tsuneonella dongtanensis,2800686:1,True,Tsuneonella:HSG1
1982042,Tsuneonella mangrovi,2800686:2,True,Tsuneonella:HSG2
2055955,Tsuneonella flava,2800686:0,True,Tsuneonella:HSG0
379347,Tritonibacter mobilis,2083206:1,True,Tritonibacter:HSG1
483013,Tritonibacter scottomollicae,2083206:0,True,Tritonibacter:HSG0
950,Neorickettsia risticii,33993:0,False,Neorickettsia:HSG0
951,Neorickettsia sennetsu,33993:0,False,Neorickettsia:HSG0
